#_vs_4cold3bet(OOPA)	36/85
#_vs_4cold3bet(OOPD)	28.5/90
#_vs_4cold4bet	61.7/75.9
#_vs_callcold3bet_EPraise(OOPA)	53.8/77.1
#_vs_callcold3bet_EPraise(OOPD)	60/75
3BET_#_vs_4callcold3bet4bet_EPfold	85.5/65
SB_vs_3cold3bet(UTG,HJ,BTN)	26/90
SB_vs_3cold3bet(UTG,HJ,CO)	26/90
SB_vs_3sqz4bet(HJ,CO,BTN)	64.2/70.4
SB_vs_3sqz4bet(UTG,CO,BTN)	63/71
SB_vs_3sqz4bet(UTG,HJ,BTN)	82/62
SB_vs_3sqz4bet(UTG,HJ,CO)	70/68
SB_vs_cold3bet(CO,BTN)	18.3/92.5
SB_vs_cold3bet(HJ,BTN)	18.5/92.5
SB_vs_cold3bet(HJ,CO)	18.5/92.5
SB_vs_cold3bet(UTG,BTN)	18.5/92.5
SB_vs_cold3bet(UTG,CO)	18.5/92.5
SB_vs_cold3bet(UTG,HJ)	18.5/92.5
SB_vs_cold4bet(HJ,CO,BTN)	51.5/80
SB_vs_cold4bet(UTG,CO,BTN)	51/80
SB_vs_cold4bet(UTG,HJ,BTN)	51.5/80
SB_vs_cold4bet_3BETraise(CO,BTN)	109.5/47
SB_vs_cold4bet_3BETraise(HJ,BTN)	75.6/63.7
SB_vs_cold4bet_3BETraise(HJ,CO)	64/69.5
SB_vs_cold4bet_3BETraise(UTG,BTN)	71/66
SB_vs_cold4bet_3BETraise(UTG,CO)	63/70
SB_vs_cold4bet_3BETraise(UTG,HJ)	69/67
SB_vs_cold4bet_EPraise(CO,BTN)	115/47
SB_vs_cold4bet_EPraise(HJ,BTN)	88.9/59.8
SB_vs_cold4bet_EPraise(HJ,CO)	74.9/66.3
SB_vs_cold4bet_EPraise(UTG,BTN)	84.5/62
SB_vs_cold4bet_EPraise(UTG,CO)	73.5/76
SB_vs_cold4bet_EPraise(UTG,HJ)	73.5/67
UTG_vsBB_3bet	24.5/88
UTG_vsBTN_3bet	16.5/92.5
UTG_vsBTN_5bet	69.5/66
UTG_vsCO_3bet	14.5/93.5
UTG_vsCO_5bet	67.5/67
UTG_vsHJ_3bet	14.5/93.5
UTG_vsHJ_5bet	65.5/68
UTG_vsSB_3bet	21/90

BB_vsBTN_srp<>X		5.5/97.5
BB_vsCO_srp<>X		5.1/97.7
BB_vsHJ_srp<>X		4.5/98.0
BB_vsSB_srp<>X		6.0/97.0
BB_vsUTG_srp<>X		4.5/98.0
BTN_vsCO_srp<>X		6.1/97.7
BTN_vsHJ_srp<>X		5.5/98.0
BTN_vsUTG_srp<>X		5.5/98.0
CO_vsHJ_srp<>X		5.5/98.0
CO_vsUTG_srp<>X		5.5/98.0
HJ_vsUTG_srp<>X		6.5/97.5
SB_vsBTN_srp<>X		6.0/97.5
SB_vsCO_srp<>X		5.6/97.7
SB_vsHJ_srp<>X		5.0/98.0
SB_vsUTG_srp<>X		5.0/98.0

BB_vsBTN_srp<>R33		9.1/95.7
BB_vsCO_srp<>R33		8.5/96.0
BB_vsHJ_srp<>R33		7.5/96.5
BB_vsSB_srp<>R33		10.0/95.0
BB_vsUTG_srp<>R33		7.5/96.5
BTN_vsCO_srp<>R33		10.1/95.7
BTN_vsHJ_srp<>R33		9.1/96.2
BTN_vsUTG_srp<>R33		9.1/96.2
CO_vsHJ_srp<>R33		9.1/96.2
CO_vsUTG_srp<>R33		9.1/96.2
HJ_vsUTG_srp<>R33		10.8/95.4
SB_vsBTN_srp<>R33		10.0/95.5
SB_vsCO_srp<>R33		9.3/95.9
SB_vsHJ_srp<>R33		8.3/96.3
SB_vsUTG_srp<>R33		8.3/96.3

BB_vsBTN_srp<>R50		11.0/94.8
BB_vsCO_srp<>R50		10.2/95.2
BB_vsHJ_srp<>R50		9.0/95.8
BB_vsSB_srp<>R50		12.0/94.0
BB_vsUTG_srp<>R50		9.0/95.8
BTN_vsCO_srp<>R50		12.2/94.7
BTN_vsHJ_srp<>R50		11.0/95.2
BTN_vsUTG_srp<>R50		11.0/95.2
CO_vsHJ_srp<>R50		11.0/95.2
CO_vsUTG_srp<>R50		11.0/95.2
HJ_vsUTG_srp<>R50		13.0/94.2
SB_vsBTN_srp<>R50		12.0/94.5
SB_vsCO_srp<>R50		11.2/94.9
SB_vsHJ_srp<>R50		10.0/95.5
SB_vsUTG_srp<>R50		10.0/95.5

BB_vsBTN_srp<>R75		13.8/93.4
BB_vsCO_srp<>R75		12.8/93.9
BB_vsHJ_srp<>R75		11.2/94.6
BB_vsSB_srp<>R75		15.0/92.5
BB_vsUTG_srp<>R75		11.2/94.6
BTN_vsCO_srp<>R75		15.2/93.1
BTN_vsHJ_srp<>R75		13.8/93.9
BTN_vsUTG_srp<>R75		13.8/93.9
CO_vsHJ_srp<>R75		13.8/93.9
CO_vsUTG_srp<>R75		13.8/93.9
HJ_vsUTG_srp<>R75		16.2/92.6
SB_vsBTN_srp<>R75		15.0/93.0
SB_vsCO_srp<>R75		14.0/93.5
SB_vsHJ_srp<>R75		12.5/94.2
SB_vsUTG_srp<>R75		12.5/94.2

BB_vsBTN_srp<>R125		19.2/90.6
BB_vsCO_srp<>R125		17.9/91.3
BB_vsHJ_srp<>R125		15.8/92.4
BB_vsSB_srp<>R125		21.0/89.5
BB_vsUTG_srp<>R125		15.8/92.4
BTN_vsCO_srp<>R125		21.4/90.1
BTN_vsHJ_srp<>R125		19.2/91.1
BTN_vsUTG_srp<>R125		19.2/91.1
CO_vsHJ_srp<>R125		19.2/91.1
CO_vsUTG_srp<>R125		19.2/91.1
HJ_vsUTG_srp<>R125		22.8/89.4
SB_vsBTN_srp<>R125		21.0/90.0
SB_vsCO_srp<>R125		19.6/90.7
SB_vsHJ_srp<>R125		17.5/91.8
SB_vsUTG_srp<>R125		17.5/91.8

BB_vsBTN_srp<>X-R33		9.1/95.7
BB_vsCO_srp<>X-R33		8.5/96.0
BB_vsHJ_srp<>X-R33		7.5/96.5
BB_vsSB_srp<>X-R33		10.0/95.0
BB_vsUTG_srp<>X-R33		7.5/96.5
BTN_vsCO_srp<>X-R33		10.1/95.7
BTN_vsHJ_srp<>X-R33		9.1/96.2
BTN_vsUTG_srp<>X-R33		9.1/96.2
CO_vsHJ_srp<>X-R33		9.1/96.2
CO_vsUTG_srp<>X-R33		9.1/96.2
HJ_vsUTG_srp<>X-R33		10.8/95.4
SB_vsBTN_srp<>X-R33		10.0/95.5
SB_vsCO_srp<>X-R33		9.3/95.9
SB_vsHJ_srp<>X-R33		8.3/96.3
SB_vsUTG_srp<>X-R33		8.3/96.3

BB_vsBTN_srp<>X-R50		11.0/94.8
BB_vsCO_srp<>X-R50		10.2/95.2
BB_vsHJ_srp<>X-R50		9.0/95.8
BB_vsSB_srp<>X-R50		12.0/94.0
BB_vsUTG_srp<>X-R50		9.0/95.8
BTN_vsCO_srp<>X-R50		12.2/94.7
BTN_vsHJ_srp<>X-R50		11.0/95.2
BTN_vsUTG_srp<>X-R50		11.0/95.2
CO_vsHJ_srp<>X-R50		11.0/95.2
CO_vsUTG_srp<>X-R50		11.0/95.2
HJ_vsUTG_srp<>X-R50		13.0/94.2
SB_vsBTN_srp<>X-R50		12.0/94.5
SB_vsCO_srp<>X-R50		11.2/94.9
SB_vsHJ_srp<>X-R50		10.0/95.5
SB_vsUTG_srp<>X-R50		10.0/95.5

BB_vsBTN_srp<>X-R75		13.8/93.4
BB_vsCO_srp<>X-R75		12.8/93.9
BB_vsHJ_srp<>X-R75		11.2/94.6
BB_vsSB_srp<>X-R75		15.0/92.5
BB_vsUTG_srp<>X-R75		11.2/94.6
BTN_vsCO_srp<>X-R75		15.2/93.1
BTN_vsHJ_srp<>X-R75		13.8/93.9
BTN_vsUTG_srp<>X-R75		13.8/93.9
CO_vsHJ_srp<>X-R75		13.8/93.9
CO_vsUTG_srp<>X-R75		13.8/93.9
HJ_vsUTG_srp<>X-R75		16.2/92.6
SB_vsBTN_srp<>X-R75		15.0/93.0
SB_vsCO_srp<>X-R75		14.0/93.5
SB_vsHJ_srp<>X-R75		12.5/94.2
SB_vsUTG_srp<>X-R75		12.5/94.2

BB_vsBTN_srp<>X-R125		19.2/90.6
BB_vsCO_srp<>X-R125		17.9/91.3
BB_vsHJ_srp<>X-R125		15.8/92.4
BB_vsSB_srp<>X-R125		21.0/89.5
BB_vsUTG_srp<>X-R125		15.8/92.4
BTN_vsCO_srp<>X-R125		21.4/90.1
BTN_vsHJ_srp<>X-R125		19.2/91.1
BTN_vsUTG_srp<>X-R125		19.2/91.1
CO_vsHJ_srp<>X-R125		19.2/91.1
CO_vsUTG_srp<>X-R125		19.2/91.1
HJ_vsUTG_srp<>X-R125		22.8/89.4
SB_vsBTN_srp<>X-R125		21.0/90.0
SB_vsCO_srp<>X-R125		19.6/90.7
SB_vsHJ_srp<>X-R125		17.5/91.8
SB_vsUTG_srp<>X-R125		17.5/91.8

BTN_vsBB_3bet<>X		26.5/87.0
BTN_vsSB_3bet<>X		25.0/88.0
CO_vsBB_3bet<>X		27.5/86.5
CO_vsBTN_3bet<>X		16.5/92.5
CO_vsSB_3bet<>X		24.0/88.5
HJ_vsBB_3bet<>X		25.1/87.7
HJ_vsBTN_3bet<>X		16.5/92.5
HJ_vsCO_3bet<>X		14.5/93.5
HJ_vsSB_3bet<>X		23.0/89.0
SB_vsBB_3bet<>X		20.0/90.0
UTG_vsBB_3bet<>X		24.5/88.0
UTG_vsBTN_3bet<>X		16.5/92.5
UTG_vsCO_3bet<>X		14.5/93.5
UTG_vsHJ_3bet<>X		14.5/93.5
UTG_vsSB_3bet<>X		21.0/90.0

BTN_vsBB_3bet<>X-R33		44.0/78.3
BTN_vsSB_3bet<>X-R33		41.5/79.8
CO_vsBB_3bet<>X-R33		45.7/77.4
CO_vsBTN_3bet<>X-R33		27.4/87.1
CO_vsSB_3bet<>X-R33		39.8/80.6
HJ_vsBB_3bet<>X-R33		41.7/79.4
HJ_vsBTN_3bet<>X-R33		27.4/87.1
HJ_vsCO_3bet<>X-R33		24.1/88.7
HJ_vsSB_3bet<>X-R33		38.2/81.4
SB_vsBB_3bet<>X-R33		33.2/83.4
UTG_vsBB_3bet<>X-R33		40.7/79.9
UTG_vsBTN_3bet<>X-R33		27.4/87.1
UTG_vsCO_3bet<>X-R33		24.1/88.7
UTG_vsHJ_3bet<>X-R33		24.1/88.7
UTG_vsSB_3bet<>X-R33		34.9/83.1

BTN_vsBB_3bet<>R33		44.0/78.3
BTN_vsSB_3bet<>R33		41.5/79.8
CO_vsBB_3bet<>R33		45.7/77.4
CO_vsBTN_3bet<>R33		27.4/87.1
CO_vsSB_3bet<>R33		39.8/80.6
HJ_vsBB_3bet<>R33		41.7/79.4
HJ_vsBTN_3bet<>R33		27.4/87.1
HJ_vsCO_3bet<>R33		24.1/88.7
HJ_vsSB_3bet<>R33		38.2/81.4
SB_vsBB_3bet<>R33		33.2/83.4
UTG_vsBB_3bet<>R33		40.7/79.9
UTG_vsBTN_3bet<>R33		27.4/87.1
UTG_vsCO_3bet<>R33		24.1/88.7
UTG_vsHJ_3bet<>R33		24.1/88.7
UTG_vsSB_3bet<>R33		34.9/83.1

